Year,Month,Waste_Type,Monthly_Total_Tonnes,Classification_Accuracy,Recycling_Rate
2023,1,Recyclable Waste,4320,91.2,84.6
2023,1,Hazardous Waste,1560,96.5,78.9
2023,1,Kitchen Waste,7890,89.8,82.4
2023,1,Other Waste,2340,85.6,75.8
2023,2,Recyclable Waste,4380,91.4,84.8
2023,2,Hazardous Waste,1590,96.7,79.1
2023,2,Kitchen Waste,7920,90.0,82.6
2023,2,Other Waste,2380,85.8,76.0
2023,3,Recyclable Waste,4420,91.5,84.9
2023,3,Hazardous Waste,1620,96.8,79.2
2023,3,Kitchen Waste,7950,90.1,82.7
2023,3,Other Waste,2420,85.9,76.1
2023,4,Recyclable Waste,4460,91.6,85.0
2023,4,Hazardous Waste,1650,96.9,79.3
2023,4,Kitchen Waste,7980,90.2,82.8
2023,4,Other Waste,2460,86.0,76.2
2023,5,Recyclable Waste,4500,91.7,85.1
2023,5,Hazardous Waste,1680,97.0,79.4
2023,5,Kitchen Waste,8010,90.3,82.9
2023,5,Other Waste,2500,86.1,76.3
2023,6,Recyclable Waste,4540,91.8,85.2
2023,6,Hazardous Waste,1710,97.1,79.5
2023,6,Kitchen Waste,8040,90.4,83.0
2023,6,Other Waste,2540,86.2,76.4
2023,7,Recyclable Waste,4580,91.9,85.3
2023,7,Hazardous Waste,1740,97.2,79.6
2023,7,Kitchen Waste,8070,90.5,83.1
2023,7,Other Waste,2580,86.3,76.5
2023,8,Recyclable Waste,4620,92.0,85.4
2023,8,Hazardous Waste,1770,97.3,79.7
2023,8,Kitchen Waste,8100,90.6,83.2
2023,8,Other Waste,2620,86.4,76.6
2023,9,Recyclable Waste,4580,91.9,85.3
2023,9,Hazardous Waste,1740,97.2,79.6
2023,9,Kitchen Waste,8060,90.5,83.1
2023,9,Other Waste,2580,86.3,76.5
2023,10,Recyclable Waste,4520,91.8,85.2
2023,10,Hazardous Waste,1700,97.1,79.5
2023,10,Kitchen Waste,8000,90.4,83.0
2023,10,Other Waste,2540,86.2,76.4
2023,11,Recyclable Waste,4480,91.7,85.1
2023,11,Hazardous Waste,1670,97.0,79.4
2023,11,Kitchen Waste,7950,90.3,82.9
2023,11,Other Waste,2500,86.1,76.3
2023,12,Recyclable Waste,4450,91.6,85.0
2023,12,Hazardous Waste,1650,96.9,79.3
2023,12,Kitchen Waste,7920,90.2,82.8
2023,12,Other Waste,2470,86.0,76.2
