Year,Month,Waste_Type,Monthly_Total_Tonnes,Classification_Accuracy,Recycling_Rate
2023,1,Recyclable Waste,3620,90.6,83.8
2023,1,Hazardous Waste,1360,95.8,78.1
2023,1,Kitchen Waste,6690,89.1,81.6
2023,1,Other Waste,2040,84.8,75.0
2023,2,Recyclable Waste,3660,90.8,84.0
2023,2,Hazardous Waste,1390,96.0,78.3
2023,2,Kitchen Waste,6720,89.3,81.8
2023,2,Other Waste,2080,85.0,75.2
2023,3,Recyclable Waste,3700,90.9,84.1
2023,3,Hazardous Waste,1420,96.1,78.4
2023,3,Kitchen Waste,6750,89.4,81.9
2023,3,Other Waste,2120,85.1,75.3
2023,4,Recyclable Waste,3740,91.0,84.2
2023,4,Hazardous Waste,1450,96.2,78.5
2023,4,Kitchen Waste,6780,89.5,82.0
2023,4,Other Waste,2160,85.2,75.4
2023,5,Recyclable Waste,3780,91.1,84.3
2023,5,Hazardous Waste,1480,96.3,78.6
2023,5,Kitchen Waste,6810,89.6,82.1
2023,5,Other Waste,2200,85.3,75.5
2023,6,Recyclable Waste,3820,91.2,84.4
2023,6,Hazardous Waste,1510,96.4,78.7
2023,6,Kitchen Waste,6840,89.7,82.2
2023,6,Other Waste,2240,85.4,75.6
2023,7,Recyclable Waste,3860,91.3,84.5
2023,7,Hazardous Waste,1540,96.5,78.8
2023,7,Kitchen Waste,6870,89.8,82.3
2023,7,Other Waste,2280,85.5,75.7
2023,8,Recyclable Waste,3900,91.4,84.6
2023,8,Hazardous Waste,1570,96.6,78.9
2023,8,Kitchen Waste,6900,89.9,82.4
2023,8,Other Waste,2320,85.6,75.8
2023,9,Recyclable Waste,3860,91.3,84.5
2023,9,Hazardous Waste,1540,96.5,78.8
2023,9,Kitchen Waste,6860,89.8,82.3
2023,9,Other Waste,2280,85.5,75.7
2023,10,Recyclable Waste,3800,91.2,84.4
2023,10,Hazardous Waste,1500,96.4,78.7
2023,10,Kitchen Waste,6800,89.7,82.2
2023,10,Other Waste,2240,85.4,75.6
2023,11,Recyclable Waste,3760,91.1,84.3
2023,11,Hazardous Waste,1470,96.3,78.6
2023,11,Kitchen Waste,6750,89.6,82.1
2023,11,Other Waste,2200,85.3,75.5
2023,12,Recyclable Waste,3730,91.0,84.2
2023,12,Hazardous Waste,1450,96.2,78.5
2023,12,Kitchen Waste,6720,89.5,82.0
2023,12,Other Waste,2170,85.2,75.4
