Year,Month,Waste_Type,Monthly_Total_Tonnes,Classification_Accuracy,Recycling_Rate
2023,1,Recyclable Waste,3820,90.7,83.9
2023,1,Hazardous Waste,1560,95.9,78.2
2023,1,Kitchen Waste,6890,89.2,81.7
2023,1,Other Waste,2240,84.9,75.1
2023,2,Recyclable Waste,3860,90.9,84.1
2023,2,Hazardous Waste,1590,96.1,78.4
2023,2,Kitchen Waste,6920,89.4,81.9
2023,2,Other Waste,2280,85.1,75.3
2023,3,Recyclable Waste,3900,91.0,84.2
2023,3,Hazardous Waste,1620,96.2,78.5
2023,3,Kitchen Waste,6950,89.5,82.0
2023,3,Other Waste,2320,85.2,75.4
2023,4,Recyclable Waste,3940,91.1,84.3
2023,4,Hazardous Waste,1650,96.3,78.6
2023,4,Kitchen Waste,6980,89.6,82.1
2023,4,Other Waste,2360,85.3,75.5
2023,5,Recyclable Waste,3980,91.2,84.4
2023,5,Hazardous Waste,1680,96.4,78.7
2023,5,Kitchen Waste,7010,89.7,82.2
2023,5,Other Waste,2400,85.4,75.6
2023,6,Recyclable Waste,4020,91.3,84.5
2023,6,Hazardous Waste,1710,96.5,78.8
2023,6,Kitchen Waste,7040,89.8,82.3
2023,6,Other Waste,2440,85.5,75.7
2023,7,Recyclable Waste,4060,91.4,84.6
2023,7,Hazardous Waste,1740,96.6,78.9
2023,7,Kitchen Waste,7070,89.9,82.4
2023,7,Other Waste,2480,85.6,75.8
2023,8,Recyclable Waste,4100,91.5,84.7
2023,8,Hazardous Waste,1770,96.7,79.0
2023,8,Kitchen Waste,7100,90.0,82.5
2023,8,Other Waste,2520,85.7,75.9
2023,9,Recyclable Waste,4060,91.4,84.6
2023,9,Hazardous Waste,1740,96.6,78.9
2023,9,Kitchen Waste,7060,89.9,82.4
2023,9,Other Waste,2480,85.6,75.8
2023,10,Recyclable Waste,4000,91.3,84.5
2023,10,Hazardous Waste,1700,96.5,78.8
2023,10,Kitchen Waste,7000,89.8,82.3
2023,10,Other Waste,2440,85.5,75.7
2023,11,Recyclable Waste,3960,91.2,84.4
2023,11,Hazardous Waste,1670,96.4,78.7
2023,11,Kitchen Waste,6950,89.7,82.2
2023,11,Other Waste,2400,85.4,75.6
2023,12,Recyclable Waste,3930,91.1,84.3
2023,12,Hazardous Waste,1650,96.3,78.6
2023,12,Kitchen Waste,6920,89.6,82.1
2023,12,Other Waste,2370,85.3,75.5
