Year,Month,Waste_Type,Location(city),Monthly_Total_Tonnes,Classification_Accuracy,Recycling_Rate
2023,1,Glass,Burnaby,2850,95.2,88.5
2023,1,Metal,Burnaby,3240,92.8,85.4
2023,1,Paper,Burnaby,5670,90.5,82.3
2023,1,Plastic,Burnaby,6780,88.9,80.2
2023,1,Recyclable Waste,Burnaby,4320,91.2,84.6
2023,1,Hazardous Waste,Burnaby,1560,96.5,78.9
2023,1,Kitchen Waste,Burnaby,7890,89.8,82.4
2023,1,Other Waste,Burnaby,2340,85.6,75.8
2023,1,Glass,Coquitlam,2650,94.9,88.1
2023,1,Metal,Coquitlam,3040,92.7,85.0
2023,1,Paper,Coquitlam,5470,90.4,82.2
2023,1,Plastic,Coquitlam,6580,88.8,80.1
2023,1,Recyclable Waste,Coquitlam,4120,91.3,84.5
2023,1,Hazardous Waste,Coquitlam,1460,96.4,78.8
2023,1,Kitchen Waste,Coquitlam,7690,89.7,82.3
2023,1,Other Waste,Coquitlam,2240,85.5,75.7
2023,1,Glass,Surrey,2450,94.5,87.6
2023,1,Metal,Surrey,2940,92.4,84.7
2023,1,Paper,Surrey,4970,89.9,81.6
2023,1,Plastic,Surrey,5780,88.2,79.5
2023,1,Recyclable Waste,Surrey,3820,90.7,83.9
2023,1,Hazardous Waste,Surrey,1560,95.9,78.2
2023,1,Kitchen Waste,Surrey,6890,89.2,81.7
2023,1,Other Waste,Surrey,2240,84.9,75.1
2023,1,Glass,Richmond,2250,94.4,87.5
2023,1,Metal,Richmond,2740,92.3,84.6
2023,1,Paper,Richmond,4770,89.8,81.5
2023,1,Plastic,Richmond,5580,88.1,79.4
2023,1,Recyclable Waste,Richmond,3620,90.6,83.8
2023,1,Hazardous Waste,Richmond,1360,95.8,78.1
2023,1,Kitchen Waste,Richmond,6690,89.1,81.6
2023,1,Other Waste,Richmond,2040,84.8,75.0
2023,2,Glass,Burnaby,2870,95.3,88.6
2023,2,Metal,Burnaby,3280,93.0,85.6
2023,2,Paper,Burnaby,5720,90.7,82.5
2023,2,Plastic,Burnaby,6820,89.1,80.4
2023,2,Recyclable Waste,Burnaby,4380,91.4,84.8
2023,2,Hazardous Waste,Burnaby,1590,96.7,79.1
2023,2,Kitchen Waste,Burnaby,7920,90.0,82.6
2023,2,Other Waste,Burnaby,2380,85.8,76.0
2023,2,Glass,Coquitlam,2670,95.1,88.3
2023,2,Metal,Coquitlam,3080,92.9,85.2
2023,2,Paper,Coquitlam,5520,90.6,82.4
2023,2,Plastic,Coquitlam,6620,89.0,80.3
2023,2,Recyclable Waste,Coquitlam,4160,91.5,84.7
2023,2,Hazardous Waste,Coquitlam,1490,96.6,79.0
2023,2,Kitchen Waste,Coquitlam,7720,89.9,82.5
2023,2,Other Waste,Coquitlam,2280,85.7,75.9
2023,2,Glass,Surrey,2470,94.7,87.8
2023,2,Metal,Surrey,2980,92.6,84.9
2023,2,Paper,Surrey,5020,90.1,81.8
2023,2,Plastic,Surrey,5820,88.4,79.7
2023,2,Recyclable Waste,Surrey,3860,90.9,84.1
2023,2,Hazardous Waste,Surrey,1590,96.1,78.4
2023,2,Kitchen Waste,Surrey,6920,89.4,81.9
2023,2,Other Waste,Surrey,2280,85.1,75.3
2023,2,Glass,Richmond,2270,94.6,87.7
2023,2,Metal,Richmond,2780,92.5,84.8
2023,2,Paper,Richmond,4820,90.0,81.7
2023,2,Plastic,Richmond,5620,88.3,79.6
2023,2,Recyclable Waste,Richmond,3660,90.8,84.0
2023,2,Hazardous Waste,Richmond,1390,96.0,78.3
2023,2,Kitchen Waste,Richmond,6720,89.3,81.8
2023,2,Other Waste,Richmond,2080,85.0,75.2
2023,3,Glass,Burnaby,2890,95.4,88.7
2023,3,Metal,Burnaby,3320,93.1,85.7
2023,3,Paper,Burnaby,5770,90.8,82.6
2023,3,Plastic,Burnaby,6860,89.2,80.5
2023,3,Recyclable Waste,Burnaby,4420,91.5,84.9
2023,3,Hazardous Waste,Burnaby,1620,96.8,79.2
2023,3,Kitchen Waste,Burnaby,7950,90.1,82.7
2023,3,Other Waste,Burnaby,2420,85.9,76.1
2023,3,Glass,Coquitlam,2690,95.2,88.4
2023,3,Metal,Coquitlam,3120,93.0,85.3
2023,3,Paper,Coquitlam,5570,90.7,82.5
2023,3,Plastic,Coquitlam,6660,89.1,80.4
2023,3,Recyclable Waste,Coquitlam,4200,91.6,84.8
2023,3,Hazardous Waste,Coquitlam,1520,96.7,79.1
2023,3,Kitchen Waste,Coquitlam,7750,90.0,82.6
2023,3,Other Waste,Coquitlam,2320,85.8,76.0
2023,3,Glass,Surrey,2490,94.8,87.9
2023,3,Metal,Surrey,3020,92.7,85.0
2023,3,Paper,Surrey,5070,90.2,81.9
2023,3,Plastic,Surrey,5860,88.5,79.8
2023,3,Recyclable Waste,Surrey,3900,91.0,84.2
2023,3,Hazardous Waste,Surrey,1620,96.2,78.5
2023,3,Kitchen Waste,Surrey,6950,89.5,82.0
2023,3,Other Waste,Surrey,2320,85.2,75.4
2023,3,Glass,Richmond,2290,94.7,87.8
2023,3,Metal,Richmond,2820,92.6,84.9
2023,3,Paper,Richmond,4870,90.1,81.8
2023,3,Plastic,Richmond,5660,88.4,79.7
2023,3,Recyclable Waste,Richmond,3700,90.9,84.1
2023,3,Hazardous Waste,Richmond,1420,96.1,78.4
2023,3,Kitchen Waste,Richmond,6750,89.4,81.9
2023,3,Other Waste,Richmond,2120,85.1,75.3
2023,4,Glass,Burnaby,2910,95.5,88.8
2023,4,Metal,Burnaby,3340,93.2,85.8
2023,4,Paper,Burnaby,5820,90.9,82.7
2023,4,Plastic,Burnaby,6900,89.3,80.6
2023,4,Recyclable Waste,Burnaby,4460,91.6,85.0
2023,4,Hazardous Waste,Burnaby,1650,96.9,79.3
2023,4,Kitchen Waste,Burnaby,7980,90.2,82.8
2023,4,Other Waste,Burnaby,2460,86.0,76.2
2023,4,Glass,Coquitlam,2710,95.3,88.5
2023,4,Metal,Coquitlam,3160,93.1,85.4
2023,4,Paper,Coquitlam,5620,90.8,82.6
