epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2128,3.52939,4.25472,4.24712,0.0063,0.32177,0.00485,0.00189,3.31127,4.10369,4.14459,0.0874,0.0014,0.0014
2,21.676,3.53305,4.13403,4.18737,0.00637,0.31854,0.00788,0.00271,3.30162,3.99,4.09814,0.0738928,0.00289282,0.00289282
3,31.1132,3.52268,3.95537,4.0911,0.00433,0.37715,0.01482,0.0037,3.28532,3.98375,4.04461,0.0603782,0.00437822,0.00437822
4,40.7153,3.5367,3.76855,3.98768,0.00357,0.36731,0.0142,0.00344,3.25843,4.17276,3.9743,0.0468562,0.00585619,0.00585619
5,50.3665,3.45124,3.66102,3.85751,0.00369,0.40047,0.02778,0.00648,3.2371,4.26355,3.90028,0.0333267,0.00732674,0.00732674
6,60.1141,3.1781,3.57906,3.62835,0.00362,0.44094,0.00802,0.00239,3.19933,4.14335,3.77161,0.0197899,0.00878986,0.00878986
7,70.0249,2.88511,3.40446,3.32141,0.01092,0.09297,0.0096,0.00297,3.21526,inf,6.32059,0.0098515,0.0098515,0.0098515
8,79.9558,2.62142,3.25166,3.07558,0.00739,0.49594,0.00644,0.00214,2.96497,inf,5.84972,0.00982675,0.00982675,0.00982675
9,89.6723,2.41631,3.08139,2.91139,0.0835,0.2393,0.06853,0.02361,2.53015,5.73489,3.3079,0.009802,0.009802,0.009802
10,99.5421,2.21159,2.89223,2.73012,0.16417,0.21036,0.11683,0.0418,2.39728,11.9214,3.09376,0.00977725,0.00977725,0.00977725
11,109.228,2.10216,2.7349,2.59131,0.18886,0.2439,0.1461,0.05809,2.29885,11.7109,2.96616,0.0097525,0.0097525,0.0097525
12,118.88,1.94413,2.57458,2.48079,0.19843,0.22643,0.11478,0.04628,2.26614,7.79028,2.93577,0.00972775,0.00972775,0.00972775
13,128.561,1.86792,2.47897,2.39516,0.19884,0.23528,0.14055,0.06172,2.23921,6.68569,2.93725,0.009703,0.009703,0.009703
14,138.265,1.82235,2.40686,2.33386,0.28532,0.32525,0.20809,0.10351,1.99501,6.80029,2.6483,0.00967825,0.00967825,0.00967825
15,147.989,1.78658,2.36111,2.29117,0.29646,0.31759,0.18398,0.08665,2.05658,7.50476,2.78854,0.0096535,0.0096535,0.0096535
16,157.808,1.72672,2.27767,2.23346,0.08867,0.32328,0.04369,0.01964,2.63603,inf,7.41818,0.00962875,0.00962875,0.00962875
17,167.434,1.68782,2.22496,2.19371,0.33895,0.33754,0.2776,0.14541,1.78196,3.95826,2.44707,0.009604,0.009604,0.009604
18,177.033,1.65357,2.17446,2.16622,0.38193,0.40962,0.34054,0.16899,1.76269,3.59339,2.47142,0.00957925,0.00957925,0.00957925
